PULocationID,trip_distance,fare_amount,year
237,1.2,7.0,2018
186,0.68,8.0,2018
144,0.84,6.5,2018
138,8.5,26.0,2018
161,5.0,19.0,2018
164,0.38,3.5,2018
114,1.5,8.0,2018
229,2.21,13.0,2018
161,3.15,12.5,2018
164,0.97,9.0,2018
234,1.7,8.5,2018
107,1.4,13.0,2018
236,5.8,21.0,2018
162,1.3,8.5,2018
114,2.5,10.5,2018
138,10.82,30.5,2018
142,0.96,6.0,2018
263,2.52,10.5,2018
66,2.31,10.5,2018
238,3.37,16.5,2018
170,1.8,8.5,2018
100,0.8,4.5,2018
239,1.73,10.0,2018
141,0.9,5.5,2018
163,3.6,15.5,2018
107,2.37,12.0,2018
43,2.9,17.0,2018
114,0.7,6.0,2018
143,0.59,4.5,2018
234,2.4,11.0,2018
249,0.9,6.0,2018
107,1.8,10.0,2018
239,1.9,8.0,2018
237,0.7,5.5,2018
68,0.98,7.0,2018
43,1.5,10.5,2018
236,0.67,5.5,2018
141,3.03,10.5,2018
161,1.5,6.5,2018
143,1.9,14.0,2018
79,1.29,7.0,2018
162,1.39,13.0,2018
237,5.32,22.5,2018
87,3.3,15.0,2018
229,3.0,16.0,2018
43,0.83,5.5,2018
230,1.5,9.0,2018
144,3.5,17.0,2018
48,11.5,34.0,2018
48,1.8,9.0,2018
48,5.21,18.0,2018
141,1.11,10.5,2018
162,0.89,9.5,2018
42,0.6,6.0,2018
186,0.94,6.0,2018
246,1.1,8.0,2018
239,0.5,4.5,2018
186,1.3,8.0,2018
140,1.66,8.0,2018
263,0.43,4.0,2018
144,1.1,7.5,2018
246,2.87,12.5,2018
234,5.7,20.0,2018
132,12.62,41.5,2018
132,7.07,22.0,2018
161,0.4,5.0,2018
48,0.9,14.5,2018
163,4.0,17.5,2018
237,0.9,6.5,2018
48,1.53,7.0,2018
100,0.4,4.0,2018
90,2.8,14.0,2018
231,3.87,13.5,2018
237,1.45,8.5,2018
264,1.6,12.5,2018
138,9.3,30.5,2018
262,1.3,8.5,2018
263,0.51,4.0,2018
231,0.21,3.0,2018
48,1.6,7.5,2018
230,1.4,8.0,2018
43,0.98,6.0,2018
